ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%),ÀÏ ÃÖ½É½ÅÀû¼³(cm),Æò±Õ Àü¿î·®(1/10),¾È°³ °è¼Ó½Ã°£(hr)
116,°ü¾Ç»ê,1983-07-01,19.3,25.5,0.0,1.6,79.3,,7.5,
116,°ü¾Ç»ê,1983-07-02,16.7,22.2,49.5,3.6,96.8,,10.0,13.83
116,°ü¾Ç»ê,1983-07-03,16.9,21.0,28.2,9.5,92.3,,10.0,22.75
116,°ü¾Ç»ê,1983-07-04,18.1,24.1,,7.0,88.3,,7.0,9.85
116,°ü¾Ç»ê,1983-07-05,15.6,19.9,0.3,4.9,97.5,,8.3,14.88
116,°ü¾Ç»ê,1983-07-06,15.2,19.2,,1.7,88.3,,10.0,
116,°ü¾Ç»ê,1983-07-07,15.2,22.4,,1.2,75.5,,5.3,
116,°ü¾Ç»ê,1983-07-08,15.9,21.7,,1.9,81.3,,8.3,
116,°ü¾Ç»ê,1983-07-09,16.6,24.0,,4.0,90.8,,8.3,
116,°ü¾Ç»ê,1983-07-10,16.8,22.3,2.2,1.6,89.0,,8.8,
116,°ü¾Ç»ê,1983-07-11,17.8,25.0,,1.9,85.3,,4.8,
116,°ü¾Ç»ê,1983-07-12,18.0,24.9,,3.2,75.8,,7.5,
116,°ü¾Ç»ê,1983-07-13,17.9,24.7,,1.8,72.0,,8.0,
116,°ü¾Ç»ê,1983-07-14,16.4,20.6,48.4,3.5,94.3,,9.3,14.58
116,°ü¾Ç»ê,1983-07-15,17.8,23.5,0.0,3.2,86.0,,10.0,10.92
116,°ü¾Ç»ê,1983-07-16,17.9,22.7,0.2,5.3,85.0,,9.5,11.22
116,°ü¾Ç»ê,1983-07-17,16.0,25.2,,3.4,75.3,,3.8,3.52
116,°ü¾Ç»ê,1983-07-18,17.6,23.7,,3.4,85.3,,8.8,9.87
116,°ü¾Ç»ê,1983-07-19,16.4,20.9,60.2,3.9,85.0,,10.0,10.25
116,°ü¾Ç»ê,1983-07-20,16.2,21.0,19.4,8.4,94.0,,10.0,11.58
116,°ü¾Ç»ê,1983-07-21,16.9,23.9,,2.0,86.8,,10.0,5.33
116,°ü¾Ç»ê,1983-07-22,19.0,25.4,,2.3,88.8,,7.8,4.58
116,°ü¾Ç»ê,1983-07-23,20.2,24.3,,2.3,90.3,,9.3,15.95
116,°ü¾Ç»ê,1983-07-24,20.2,22.7,27.7,4.3,96.0,,10.0,24.0
116,°ü¾Ç»ê,1983-07-25,21.9,22.9,0.9,7.6,96.8,,10.0,24.0
116,°ü¾Ç»ê,1983-07-26,22.5,24.2,0.0,8.3,93.8,,9.3,12.5
116,°ü¾Ç»ê,1983-07-27,21.9,24.2,3.0,5.8,94.3,,8.8,14.75
116,°ü¾Ç»ê,1983-07-28,21.6,24.9,0.0,4.2,92.5,,10.0,18.2
116,°ü¾Ç»ê,1983-07-29,21.9,24.7,69.7,7.2,95.8,,10.0,24.0
116,°ü¾Ç»ê,1983-07-30,22.4,23.9,2.7,8.6,95.0,,10.0,24.0
116,°ü¾Ç»ê,1983-07-31,22.6,27.2,,7.8,91.0,,9.5,11.88
116,°ü¾Ç»ê,1983-08-01,23.2,26.1,18.1,6.5,95.5,,10.0,16.83
116,°ü¾Ç»ê,1983-08-02,22.0,29.1,,7.0,88.3,,9.5,10.33
116,°ü¾Ç»ê,1983-08-03,23.0,29.2,0.0,6.5,86.3,,5.0,7.33
116,°ü¾Ç»ê,1983-08-04,22.8,31.9,,3.4,82.5,,0.8,
116,°ü¾Ç»ê,1983-08-05,23.1,32.5,,3.4,67.5,,0.0,
116,°ü¾Ç»ê,1983-08-06,23.3,32.0,,2.6,65.8,,1.0,0.78
116,°ü¾Ç»ê,1983-08-07,22.2,29.4,,3.1,83.8,,9.3,8.08
116,°ü¾Ç»ê,1983-08-08,22.1,27.1,1.4,2.2,80.8,,9.3,
116,°ü¾Ç»ê,1983-08-09,20.7,24.6,31.3,2.2,84.0,,9.5,7.83
116,°ü¾Ç»ê,1983-08-10,20.4,24.8,1.7,1.1,88.0,,6.8,7.42
116,°ü¾Ç»ê,1983-08-11,21.0,29.8,,1.6,77.8,,3.3,
116,°ü¾Ç»ê,1983-08-12,22.4,29.2,15.2,1.2,80.0,,4.3,
116,°ü¾Ç»ê,1983-08-13,21.0,29.5,,1.0,72.5,,1.5,
116,°ü¾Ç»ê,1983-08-14,22.6,29.0,,1.1,72.8,,7.3,
116,°ü¾Ç»ê,1983-08-15,20.0,28.6,,3.5,62.8,,5.5,
116,°ü¾Ç»ê,1983-08-16,19.1,29.3,,3.9,68.5,,2.5,
116,°ü¾Ç»ê,1983-08-17,20.3,30.4,,2.5,72.3,,1.3,
116,°ü¾Ç»ê,1983-08-18,20.1,30.4,,2.0,58.8,,1.5,
116,°ü¾Ç»ê,1983-08-19,18.3,27.6,,1.4,58.8,,6.8,
116,°ü¾Ç»ê,1983-08-20,18.0,21.7,0.8,1.7,68.3,,9.0,
116,°ü¾Ç»ê,1983-08-21,16.7,23.9,0.4,1.0,78.3,,10.0,
116,°ü¾Ç»ê,1983-08-22,15.3,25.2,2.1,1.5,73.3,,10.0,4.13
116,°ü¾Ç»ê,1983-08-23,15.6,17.8,24.8,1.8,93.3,,10.0,4.03
116,°ü¾Ç»ê,1983-08-24,14.8,17.9,19.3,3.9,93.0,,10.0,17.22
116,°ü¾Ç»ê,1983-08-25,16.4,22.8,0.2,1.5,83.5,,10.0,
116,°ü¾Ç»ê,1983-08-26,16.7,26.0,11.5,2.5,80.0,,7.0,6.5
116,°ü¾Ç»ê,1983-08-27,19.3,26.0,12.6,2.7,80.8,,9.5,8.17
116,°ü¾Ç»ê,1983-08-28,20.5,22.9,13.9,4.8,94.8,,10.0,24.0
116,°ü¾Ç»ê,1983-08-29,19.2,24.6,,5.3,89.0,,9.0,18.25
116,°ü¾Ç»ê,1983-08-30,20.1,25.2,,7.2,90.3,,10.0,17.7
116,°ü¾Ç»ê,1983-08-31,20.6,26.6,,4.0,87.8,,9.0,13.0
116,°ü¾Ç»ê,1983-09-01,20.7,28.0,15.2,1.2,81.0,,9.3,11.5
116,°ü¾Ç»ê,1983-09-02,19.9,24.1,41.2,6.0,94.3,,10.0,24.0
116,°ü¾Ç»ê,1983-09-03,18.7,23.2,,3.2,89.0,,10.0,7.12
116,°ü¾Ç»ê,1983-09-04,18.4,22.7,,1.6,82.8,,10.0,4.95
116,°ü¾Ç»ê,1983-09-05,16.9,20.2,27.6,1.8,94.8,,9.5,15.63
116,°ü¾Ç»ê,1983-09-06,16.7,25.7,,3.7,82.0,,7.3,
116,°ü¾Ç»ê,1983-09-07,16.4,23.5,7.5,3.7,89.5,,7.5,8.0
116,°ü¾Ç»ê,1983-09-08,16.7,24.6,0.0,0.9,77.3,,9.5,4.75
116,°ü¾Ç»ê,1983-09-09,16.2,19.2,9.0,2.5,88.3,,10.0,13.43
116,°ü¾Ç»ê,1983-09-10,15.3,19.9,17.9,1.7,92.0,,10.0,17.58
116,°ü¾Ç»ê,1983-09-11,16.9,18.8,10.6,1.1,94.3,,10.0,24.0
116,°ü¾Ç»ê,1983-09-12,15.7,24.7,0.8,3.9,80.3,,5.8,6.7
116,°ü¾Ç»ê,1983-09-13,17.5,25.9,,3.1,75.3,,6.0,
116,°ü¾Ç»ê,1983-09-14,15.3,22.7,12.7,2.5,74.8,,9.3,1.28
116,°ü¾Ç»ê,1983-09-15,16.5,25.0,,3.6,69.5,,5.5,
116,°ü¾Ç»ê,1983-09-16,16.5,25.1,,2.4,78.3,,5.5,4.98
116,°ü¾Ç»ê,1983-09-17,16.3,24.9,,0.3,74.3,,0.8,
116,°ü¾Ç»ê,1983-09-18,16.4,26.2,,0.1,63.3,,3.8,
116,°ü¾Ç»ê,1983-09-19,15.1,26.5,,0.1,67.5,,4.5,
116,°ü¾Ç»ê,1983-09-20,17.7,26.9,,0.5,71.0,,4.3,
