瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),老 弥缴脚利汲(cm),乞闭 傈款樊(1/10),救俺 拌加矫埃(hr)
164,公救,1993-01-01,-3.7,5.4,,1.4,73.8,,2.0,
164,公救,1993-01-02,-2.4,10.1,,1.3,81.3,,3.0,
164,公救,1993-01-03,0.2,7.1,,3.2,76.0,,8.8,
164,公救,1993-01-04,-2.2,1.2,,4.1,63.0,,5.0,
164,公救,1993-01-05,-5.0,4.2,,2.3,61.5,,2.0,
164,公救,1993-01-06,0.2,6.3,4.5,2.2,85.0,,9.5,
164,公救,1993-01-07,1.5,5.1,6.0,3.0,77.0,,6.3,
164,公救,1993-01-08,1.7,5.3,,2.0,75.3,,9.5,
164,公救,1993-01-09,2.6,5.4,5.0,1.7,84.8,,10.0,
164,公救,1993-01-10,2.1,5.0,,3.8,66.5,,8.8,
164,公救,1993-01-11,0.4,2.2,,3.8,64.0,,9.8,
164,公救,1993-01-12,-2.3,3.8,,3.8,59.3,,7.8,
164,公救,1993-01-13,-1.4,2.8,0.5,4.3,63.0,2.8,10.0,
164,公救,1993-01-14,-1.4,2.0,2.0,3.9,75.5,,10.0,
164,公救,1993-01-15,-1.6,1.9,0.0,5.5,62.8,,9.8,
164,公救,1993-01-16,-2.1,0.4,0.4,5.6,67.0,,9.8,
164,公救,1993-01-17,-2.4,1.8,1.1,2.0,84.3,2.0,9.0,
164,公救,1993-01-18,-3.6,0.6,3.7,3.5,84.0,9.9,9.3,
164,公救,1993-01-19,-7.3,-1.7,2.0,2.3,85.3,5.2,9.3,
164,公救,1993-01-20,-6.2,-0.3,3.7,3.0,81.8,8.9,10.0,
164,公救,1993-01-21,-7.9,0.2,,3.1,74.0,,3.3,
164,公救,1993-01-22,-6.0,2.8,,2.7,68.3,,2.5,
164,公救,1993-01-23,-3.1,2.5,,1.9,69.8,,7.5,
164,公救,1993-01-24,-2.3,2.7,0.2,2.1,78.5,,7.0,
164,公救,1993-01-25,1.4,4.8,,2.3,79.8,,8.3,
164,公救,1993-01-26,-0.6,7.3,,2.6,68.0,,2.8,
164,公救,1993-01-27,-4.1,2.2,1.0,5.4,66.0,1.5,8.5,
164,公救,1993-01-28,-3.9,0.6,0.0,5.4,61.5,,8.5,
164,公救,1993-01-29,-2.4,4.5,,1.6,68.0,,8.3,
164,公救,1993-01-30,0.4,6.6,,2.1,61.5,,2.0,
164,公救,1993-01-31,-1.4,8.6,,3.6,75.5,,4.5,
164,公救,1993-02-01,0.0,4.4,,6.1,59.0,,4.0,
164,公救,1993-02-02,-3.7,5.5,,2.2,59.3,,0.8,
164,公救,1993-02-03,-4.8,6.2,,1.0,81.0,,5.3,
164,公救,1993-02-04,-1.9,9.4,,1.1,85.8,,1.3,
164,公救,1993-02-05,-1.0,14.0,,2.6,85.5,,0.0,
164,公救,1993-02-06,5.4,15.9,,3.5,84.5,,2.3,
164,公救,1993-02-07,-0.4,5.5,,7.2,63.5,,8.8,
164,公救,1993-02-08,-1.3,1.3,,4.0,59.3,,8.3,
164,公救,1993-02-09,-2.9,3.6,1.0,1.9,86.0,1.8,5.0,
164,公救,1993-02-10,-2.8,7.4,,1.0,82.8,,3.5,
164,公救,1993-02-11,-0.2,5.9,1.0,2.1,80.3,,6.8,
164,公救,1993-02-12,-2.5,8.5,,2.1,74.3,,1.8,
164,公救,1993-02-13,-0.8,9.3,,2.9,84.3,,4.0,3.15
164,公救,1993-02-14,-2.0,8.5,,2.2,54.0,,0.0,
164,公救,1993-02-15,-3.2,8.3,,1.1,63.3,,7.3,
164,公救,1993-02-16,4.4,9.9,23.0,4.0,82.8,,10.0,5.4
164,公救,1993-02-17,3.4,6.0,,4.2,83.3,,9.8,1.8
164,公救,1993-02-18,0.5,5.9,,2.5,73.3,,5.0,
164,公救,1993-02-19,-0.6,7.7,,2.6,67.0,,2.0,
164,公救,1993-02-20,0.0,9.8,24.5,3.7,75.5,,7.0,
