¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,√÷¿˙±‚ø¬(°∆C),√÷∞Ì±‚ø¬(°∆C),¿œ∞≠ºˆ∑Æ(mm),∆Ú±’ «≥º”(m/s),∆Ú±’ ªÛ¥ÎΩ¿µµ(%),¿œ √÷Ω…Ω≈¿˚º≥(cm),∆Ú±’ ¿¸øÓ∑Æ(1/10),æ»∞≥ ∞Ëº”Ω√∞£(hr),¿œ πÃºº∏’¡ˆ ≥Ûµµ(ß∂/ß©)
169,»ÊªÍµµ,1997-01-01,-2.1,13.6,4.7,12.5,82.1,0.2,8.4,,
169,»ÊªÍµµ,1997-01-02,-2.2,2.0,0.1,12.5,72.4,0.2,6.6,,
169,»ÊªÍµµ,1997-01-03,0.3,3.6,0.0,7.8,78.3,,5.3,,
169,»ÊªÍµµ,1997-01-04,1.3,2.8,,7.3,72.4,,4.6,,
169,»ÊªÍµµ,1997-01-05,-3.1,5.9,1.0,10.0,81.0,0.3,8.6,,
169,»ÊªÍµµ,1997-01-06,-3.3,0.0,0.1,14.1,69.1,0.2,8.6,,
169,»ÊªÍµµ,1997-01-07,-1.9,1.7,1.5,11.5,81.6,2.1,7.0,,
169,»ÊªÍµµ,1997-01-08,-1.8,4.0,0.0,11.8,68.8,,5.3,,
169,»ÊªÍµµ,1997-01-09,2.8,3.8,,8.0,68.8,,6.8,,
169,»ÊªÍµµ,1997-01-10,2.9,4.2,,7.2,67.1,,4.0,,
169,»ÊªÍµµ,1997-01-11,2.9,4.5,,5.7,69.6,,9.4,,
169,»ÊªÍµµ,1997-01-12,3.1,5.2,,4.5,69.3,,5.9,,
169,»ÊªÍµµ,1997-01-13,2.3,9.3,,2.2,82.1,,1.8,,
169,»ÊªÍµµ,1997-01-14,0.2,7.9,,12.8,76.8,,6.1,,
169,»ÊªÍµµ,1997-01-15,0.8,2.3,,7.9,71.8,,2.6,,
169,»ÊªÍµµ,1997-01-16,1.8,3.5,0.0,5.4,80.0,,5.4,,
169,»ÊªÍµµ,1997-01-17,2.7,6.2,,3.7,72.4,,7.3,,
169,»ÊªÍµµ,1997-01-18,1.9,6.0,,11.1,65.9,,6.8,,
169,»ÊªÍµµ,1997-01-19,1.2,6.1,,3.1,70.1,,3.4,,
169,»ÊªÍµµ,1997-01-20,4.0,8.1,,4.1,77.0,,4.6,,
169,»ÊªÍµµ,1997-01-21,-3.4,4.3,0.0,21.0,79.6,,8.0,,
169,»ÊªÍµµ,1997-01-22,-2.0,1.8,,10.5,79.0,,5.1,,
169,»ÊªÍµµ,1997-01-23,0.1,2.9,0.3,8.2,85.4,0.0,9.8,,
169,»ÊªÍµµ,1997-01-24,-0.1,2.2,,16.8,71.9,,8.4,,
169,»ÊªÍµµ,1997-01-25,1.4,5.3,,9.1,67.3,,3.3,,
169,»ÊªÍµµ,1997-01-26,4.0,7.9,,4.0,67.3,,6.0,,
169,»ÊªÍµµ,1997-01-27,4.1,9.0,,3.9,67.3,,2.5,,
169,»ÊªÍµµ,1997-01-28,0.7,5.9,,8.9,68.4,,5.4,,
169,»ÊªÍµµ,1997-01-29,1.3,4.7,,8.2,57.1,,2.8,,
