ม๖มก,ม๖มกธํ,ภฯฝร,รึภ๚ฑโฟย(กฦC),รึฐํฑโฟย(กฦC),ภฯฐญผ๖ทฎ(mm),ฦ๒ฑี วณผำ(m/s),ฦ๒ฑี ป๓ด๋ฝภตต(%),ภฯ รึฝษฝลภ๛ผณ(cm),ฦ๒ฑี ภüฟ๎ทฎ(1/10),พศฐณ ฐ่ผำฝรฐฃ(hr),ภฯ นฬผผธีม๖ ณ๓ตต(งถ/งฉ)
175,ม๘ตต(รทย๛ป๊),2002-01-01,-3.7,7.6,0.0,9.0,82.3,,6.9,1.75,
175,ม๘ตต(รทย๛ป๊),2002-01-02,-5.5,-2.7,1.0,8.7,88.4,1.3,6.8,,
175,ม๘ตต(รทย๛ป๊),2002-01-03,-5.2,3.1,,6.1,80.3,,5.5,,
175,ม๘ตต(รทย๛ป๊),2002-01-04,3.1,7.8,,9.0,78.3,,1.6,,
175,ม๘ตต(รทย๛ป๊),2002-01-05,-2.2,4.5,,7.1,76.8,,0.3,,
175,ม๘ตต(รทย๛ป๊),2002-01-06,-2.5,7.3,,5.4,62.0,,1.4,,
175,ม๘ตต(รทย๛ป๊),2002-01-07,-4.3,8.0,1.0,11.8,81.1,1.0,7.3,,
175,ม๘ตต(รทย๛ป๊),2002-01-08,-4.6,-1.6,0.4,10.7,84.3,0.9,7.1,,
175,ม๘ตต(รทย๛ป๊),2002-01-09,-2.8,2.7,,6.3,76.4,,1.5,,
175,ม๘ตต(รทย๛ป๊),2002-01-10,0.9,11.1,,6.4,88.6,,4.3,3.72,
175,ม๘ตต(รทย๛ป๊),2002-01-11,3.3,12.4,,6.0,65.3,,1.3,6.0,
175,ม๘ตต(รทย๛ป๊),2002-01-12,6.7,14.2,,4.1,63.6,,3.9,,
175,ม๘ตต(รทย๛ป๊),2002-01-13,8.5,12.2,0.0,6.5,82.4,,9.8,,
175,ม๘ตต(รทย๛ป๊),2002-01-14,8.5,13.7,5.5,9.6,96.8,,10.0,11.18,
175,ม๘ตต(รทย๛ป๊),2002-01-15,13.6,15.6,8.5,7.9,98.1,,10.0,22.08,
175,ม๘ตต(รทย๛ป๊),2002-01-16,1.5,14.0,2.5,8.3,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-01-17,-1.3,3.2,0.0,6.7,88.3,,6.4,7.17,
175,ม๘ตต(รทย๛ป๊),2002-01-18,-1.3,5.8,,4.3,85.5,,8.3,,
175,ม๘ตต(รทย๛ป๊),2002-01-19,2.9,10.5,,5.6,79.0,,5.5,,
175,ม๘ตต(รทย๛ป๊),2002-01-20,0.5,7.5,2.0,6.3,80.8,,8.6,7.33,
175,ม๘ตต(รทย๛ป๊),2002-01-21,-2.0,2.6,0.1,9.4,87.0,,8.1,5.38,
